Respondent_code,Business_Category_(Asset):,Industry Type:,NoOfOperationDays,DailyUsageKW,Cooling&VentilationUsage,Entertainment&AudioEquipmentUsage,Industrial&ManufacturingEquipmentUsage,KitchenEquipmentUsage,Lightning&ElectricalFixtureUsage,Office&ITEquipmentUsage,OtherUsages,Refrigerator&StorageUsage,MonthlyUsageKW_Eqpt,EnergyIntensity,Number_of_Operation_hours,EnergyIntensityBand,UsageRangeBand,HourlyUsageKW,Recommended PV Setup
43,Micro,Food and beverages,4,19.6,1.225,1.225,2.45,3.675,3.675,1.225,3.675,2.45,336,9.333333333,9,Lowest,Very Low,5.6,6 kW
47,Micro,Food and beverages,6,19.6,1.225,1.225,2.45,3.675,3.675,1.225,3.675,2.45,504,6.461538462,13,Lowest,Very Low,5.6,6 kW
63,Micro,Food and beverages,6,19.6,1.225,1.225,2.45,3.675,3.675,1.225,3.675,2.45,504,7.636363636,11,Lowest,Very Low,5.6,6 kW
27,Micro,Retail,5,20.375,2.25,5.625,0.875,0.4375,2.1875,5.625,0,3.375,436.6071429,6.717032967,13,Lowest,Very Low,2.875,6 kW
125,Micro,Retail,5,20.375,2.25,5.625,0.875,0.4375,2.1875,5.625,0,3.375,436.6071429,9.702380952,9,Lowest,Very Low,2.875,6 kW
30,Micro,Retail,5,20.375,2.25,5.625,0.875,0.4375,2.1875,5.625,0,3.375,436.6071429,6.717032967,13,Lowest,Very Low,2.875,6 kW
16,Micro,Services,6,20.4,3.25,0.0875,0,4.55,0.8125,0.9,0,10.8,524.5714286,8.742857143,10,Lowest,Very Low,2.65,6 kW
11,Micro,Retail,6,22.375,0.4375,0,0,0,0.325,0.0125,0,21.6,575.3571429,7.376373626,13,Lowest,Very Low,2.6,6 kW
20,Micro,Retail,6,22.375,0.4375,0,0,0,0.325,0.0125,0,21.6,575.3571429,10.6547619,9,Lowest,Very Low,2.6,6 kW
106,Micro,Retail,6,22.375,0.4375,0,0,0,0.325,0.0125,0,21.6,575.3571429,10.6547619,9,Lowest,Very Low,2.6,6 kW
93,Micro,Rental,7,27.1875,5.625,0.0625,0,0,5.625,0.125,0,15.75,815.625,29.12946429,4,Moderate,Very Low,3.375,8 kW
51,Micro,Food and beverages,7,42.25,9.75,0.1625,0,23.4,0.325,0.8125,0,7.8,1267.5,20.11904762,9,Moderate,Very Low,6.5,12 kW
79,Micro,Services,7,42.25,9.75,0.1625,0,23.4,0.325,0.8125,0,7.8,1267.5,20.11904762,9,Moderate,Very Low,6.5,12 kW
